id,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.66142,0.6777299999999999,0.62212,,0.19538999999999995,0.8070631970260225,"(5.0, 25.0)",20.0
88,55.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.5595399999999999,0.7221500000000001,0.80826,,0.2506799999999999,,"(70.0, 310.0)",240.0
96,60.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70699,0.55108,0.50386,,0.09743000000000013,0.3564946944749363,"(85.0, 355.0)",270.0
108,215.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.88098,0.53687,,,0.43523999999999996,,"(290.0, 1580.0)",1290.0
110,40.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.5952,0.50773,0.57589,0.62541,0.02917000000000003,0.3715923566878985,"(60.0, 295.0)",225.0
111,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.66386,0.65227,0.5184,0.85672,0.09653,,"(0.0, 10.0)",10.0
119,65.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.7006399999999999,0.51598,0.49995999999999996,0.6391800000000001,0.03094000000000008,0.0478428946961498,"(85.0, 340.0)",255.0
138,80.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.79434,0.47736999999999996,0.86374,0.93843,0.21860999999999964,0.3910733452593911,"(135.0, 570.0)",435.0
141,65.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79316,0.6957800000000001,0.67345,,0.2863300000000001,0.439021772462435,"(90.0, 380.0)",290.0
149,115.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.72536,0.6986399999999999,0.50509,,0.17809000000000008,,"(150.0, 575.0)",425.0
154,65.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.73207,0.5839099999999999,0.5446599999999999,0.9192400000000001,0.11228999999999989,0.2776019777503088,"(100.0, 405.0)",305.0
158,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.70878,0.84077,,,0.5617300000000001,,"(65.0, 295.0)",230.0
175,55.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.6565,0.53731,0.69501,0.60408,0.05772999999999995,0.152081138040042,"(70.0, 305.0)",235.0
176,95.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.5143800000000001,0.72578,0.6053999999999999,,0.13520999999999983,0.2744266287801905,"(130.0, 485.0)",355.0
179,45.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.6809499999999999,0.50623,0.52484,0.80706,0.05428999999999984,0.09203254788947252,"(60.0, 270.0)",210.0
180,40.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.63435,0.89658,,,0.5438000000000001,0.963671805777069,"(65.0, 300.0)",235.0
187,55.0,48.449738338395285,"[6, 1, 2, 4, 5]",0.50082,0.64437,0.94943,,0.2203799999999999,0.25287435456110147,"(85.0, 360.0)",275.0
206,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.04661000000000004,0.78311,,,0.018839999999999968,0.045895249695493225,"(15.0, 70.0)",55.0
209,75.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.68005,,,,0.68005,,"(100.0, 405.0)",305.0
211,55.0,53.75864652418655,"[7, 6, 10, 2, 1]",0.7951699999999999,0.39105,0.82967,0.62432,0.08418999999999965,,"(90.0, 390.0)",300.0
227,30.0,20.014371038576503,"[1, 2, 6, 7, 10]",0.67581,0.7240599999999999,0.05335999999999996,0.38664,,0.0022871664548900494,"(35.0, 135.0)",100.0
236,60.0,49.76022964602945,"[6, 1, 2, 4, 5]",0.57508,0.51831,0.94011,,0.1854999999999999,0.2508112493239587,"(90.0, 370.0)",280.0
240,10.0,7.649484536082474,"[12, 2, 22, 1, 10]",0.52488,0.56385,0.57153,0.50285,0.020629999999999926,0.04965102286401907,"(15.0, 55.0)",40.0
246,30.0,36.53227151895733,"[13, 1, 14, 7, 11]",0.13775000000000004,0.63369,0.18030000000000002,0.93431,0.0010700000000003485,0.003850734418419672,"(50.0, 235.0)",185.0
273,75.0,52.89116720554914,"[2, 1, 6, 3, 7]",0.74705,0.56854,0.7612099999999999,,0.22518000000000005,0.5327182398864445,"(95.0, 380.0)",285.0
276,70.0,54.698955760679134,"[1, 6, 2, 5, 4]",0.7574799999999999,0.91215,,,0.67395,,"(100.0, 415.0)",315.0
283,75.0,52.13125589901274,"[1, 6, 4, 2, 5]",0.68682,0.93239,0.64469,,0.38276,0.5257692307692308,"(95.0, 390.0)",295.0
287,75.0,55.9672509226252,"[1, 6, 2, 5, 4]",0.75154,0.89168,,,0.64808,,"(105.0, 425.0)",320.0
339,75.0,53.725517002351296,"[1, 6, 4, 2, 5]",0.6534,0.87368,0.60825,,0.29159999999999986,0.7726550079491254,"(100.0, 400.0)",300.0
360,50.0,42.85115865253572,"[7, 6, 2, 1, 4]",0.5905400000000001,0.94387,0.72766,0.5009,0.14347999999999983,0.2636530687247332,"(70.0, 315.0)",245.0
361,65.0,52.57800742380723,"[1, 6, 2, 4, 5]",0.6944699999999999,0.90987,0.57404,,0.3278899999999999,,"(100.0, 395.0)",295.0
374,75.0,55.42556297936278,"[1, 6, 4, 2, 5]",0.7335499999999999,0.87925,0.50623,,0.27227,,"(105.0, 420.0)",315.0
375,80.0,55.58003962227648,"[1, 6, 4, 2, 5]",0.71397,0.69529,0.85856,,0.3532099999999999,,"(105.0, 425.0)",320.0
376,75.0,51.28343575289968,"[1, 6, 4, 2, 5]",0.65854,0.6208400000000001,0.81769,,0.2419,,"(95.0, 390.0)",290.0
400,65.0,51.11509953450529,"[1, 6, 2, 5, 4]",0.68824,0.96959,,,0.65882,,"(95.0, 385.0)",290.0
402,90.0,55.13021200934514,"[1, 6, 4, 2, 5]",0.70234,0.60547,0.89329,,0.29961000000000004,0.676778857013779,"(110.0, 425.0)",315.0
407,50.0,48.21897964602945,"[2, 1, 6, 3, 4]",0.70767,0.52291,0.92961,0.6403,0.15391,0.7424505547515681,"(85.0, 350.0)",265.0
415,5.0,7.672066764850269,"[16, 10, 13, 22, 6]",0.5931500000000001,0.59339,0.5819799999999999,0.62473,0.041000000000000036,0.0873455475074564,"(10.0, 55.0)",45.0
416,50.0,42.99682717885152,"[1, 2, 7, 6, 4]",0.69467,0.52328,0.5004500000000001,0.87846,0.06261000000000028,,"(75.0, 315.0)",240.0
423,15.0,74.76,"[12, 10, 6, 1, 11]",0.89457,0.54169,0.50363,0.5302,0.03936000000000017,0.19533498759305334,"(40.0, 355.0)",315.0
424,45.0,42.37135678996339,"[1, 6, 4, 2, 7]",0.71448,0.51773,0.67734,0.033399999999999985,,0.001947064192273523,"(65.0, 290.0)",225.0
427,5.0,2.4266666666666667,"[10, 1, 22, 11, 12]",0.51282,0.55792,0.60155,0.5621700000000001,0.027840000000000087,0.06816846229187093,"(5.0, 15.0)",10.0
428,70.0,55.38161917885151,"[7, 6, 2, 1, 4]",0.66457,0.63609,0.6666000000000001,0.75894,0.12009999999999998,0.30343607882769075,"(105.0, 410.0)",305.0
429,45.0,41.205730003593786,"[2, 1, 6, 3, 4]",0.55381,0.58325,0.6923900000000001,0.52118,0.04398999999999986,0.14717296754767434,"(65.0, 300.0)",235.0
432,40.0,40.34197883402393,"[1, 2, 6, 4, 7]",0.76017,0.60972,0.99993,,0.41068000000000005,,"(60.0, 290.0)",230.0
436,55.0,47.61374315954296,"[1, 4, 2, 6, 5]",0.55002,0.6513599999999999,0.68424,,0.14418999999999982,0.36896110542476923,"(85.0, 360.0)",275.0
437,60.0,46.54703584551818,"[1, 6, 2, 4, 7]",0.79782,0.6517999999999999,0.69352,,0.2813999999999999,0.3451490248988101,"(80.0, 345.0)",265.0
438,35.0,40.99532794528349,"[1, 6, 2, 10, 7]",0.80089,0.55304,0.06486999999999998,0.3903,,0.00010710460549675629,"(60.0, 275.0)",215.0
451,50.0,47.3633875407663,"[1, 2, 6, 5, 4]",0.80862,0.53994,,,0.38644999999999996,,"(80.0, 350.0)",270.0
